,Prediction,True Scores
106,46.44188,46.139999
107,46.02102,45.73
108,45.93891,45.650002
109,46.924576,46.610001
110,46.749954,46.439999
111,46.267357,45.970001
112,45.764473,45.48
113,46.12365,45.830002
114,46.267357,45.970001
115,47.037582,46.720001
116,46.400818,46.099998
117,46.534294,46.23
118,46.205757,45.91
119,45.928658,45.639999
120,45.93891,45.650002
121,45.538788,45.259998
122,44.62639,44.369999
123,44.40101,44.150002
124,44.70836,44.450001
125,44.657127,44.400002
126,44.64688,44.389999
127,44.554672,44.299999
128,44.493202,44.240002
129,44.780098,44.52
130,44.87233,44.610001
131,45.826042,45.540001
132,45.908127,45.619999
133,46.051796,45.759998
134,46.975937,46.66
135,46.934845,46.619999
136,47.243073,46.919998
137,47.613068,47.279999
138,45.826042,45.540001
139,46.411087,46.110001
140,46.236557,45.939999
141,45.63111,45.349998
142,45.620857,45.34
143,46.595917,46.290001
144,47.201973,46.880001
145,47.017036,46.700001
146,47.130043,46.810001
147,47.880363,47.540001
148,47.921494,47.580002
149,46.934845,46.619999
150,47.05813,46.740002
151,47.664467,47.330002
152,46.719147,46.41
153,47.05813,46.740002
154,47.04785,46.73
155,47.325287,47.0
156,47.654182,47.32
157,47.60279,47.27
158,46.924576,46.610001
159,45.949173,45.66
160,43.295555,43.07
161,41.87532,41.68
162,40.641518,40.470001
163,42.927437,42.709999
164,44.144974,43.900002
165,44.175697,43.93
166,43.755966,43.52
167,42.018234,41.82
168,43.59223,43.360001
169,43.735497,43.5
170,42.825226,42.610001
171,44.134735,43.889999
172,43.295555,43.07
173,43.520607,43.290001
174,43.715027,43.48
175,43.264877,43.040001
176,44.2269,43.98
177,44.554672,44.299999
178,44.50345,44.25
179,43.715027,43.48
180,44.36004,44.110001
181,44.144974,43.900002
182,44.114258,43.869999
183,44.155212,43.91
184,44.185936,43.939999
185,43.520607,43.290001
186,43.674095,43.439999
187,44.513687,44.259998
188,44.87233,44.610001
189,45.85682,45.57
190,46.94512,46.630001
191,47.068405,46.75
192,47.11978,46.799999
193,47.787834,47.450001
194,47.43833,47.110001
195,47.325287,47.0
196,47.212242,46.889999
197,46.99649,46.68
198,47.335556,47.009998
199,47.849518,47.509998
200,47.962624,47.619999
201,48.116875,47.77
202,47.530838,47.200001
203,48.384285,48.029999
204,53.371704,52.869999
205,54.796234,54.25
206,54.218063,53.689999
207,54.517456,53.98
208,53.87741,53.360001
209,53.134377,52.639999
210,53.753555,53.240002
211,54.692986,54.150002
212,54.951126,54.400002
213,54.930466,54.380001
214,55.48815,54.919998
215,54.70331,54.16
216,54.03225,53.509998
217,54.176773,53.650002
218,53.836136,53.32
219,53.34075,52.84
220,54.30065,53.77
221,53.4749,52.970001
222,54.38324,53.849998
223,54.47615,53.939999
224,54.73427,54.189999
225,54.73427,54.189999
226,54.796234,54.25
227,54.218063,53.689999
228,54.465828,53.93
229,54.89949,54.349998
230,55.798027,55.220001
231,55.78769,55.209999
232,54.7446,54.200001
233,56.510857,55.91
234,56.40754,55.810001
235,56.38688,55.790001
236,55.550117,54.98
237,55.84967,55.27
238,54.60006,54.060001
239,55.715385,55.139999
240,55.777367,55.200001
241,56.738174,56.130001
242,56.293884,55.700001
243,54.672333,54.130001
244,55.395195,54.830002
245,55.932312,55.349998
246,56.41787,55.82
247,56.262886,55.669998
248,56.552185,55.950001
249,57.172188,56.549999
250,56.92417,56.310001
251,56.066605,55.48
252,55.364212,54.799999
253,55.62242,55.049999
254,54.58972,54.049999
255,52.649475,52.169998
256,52.814537,52.330002
257,52.783577,52.299999
258,53.27883,52.779999
259,52.102814,51.639999
260,53.619392,53.110001
261,51.43261,50.990002
262,50.98938,50.560001
263,51.22644,50.790001
264,50.90693,50.48
265,52.773262,52.290001
266,52.257515,51.790001
267,52.649475,52.169998
268,51.669724,51.220001
269,52.535995,52.060001
270,55.663742,55.09
271,55.271263,54.709999
272,53.505867,53.0
273,52.63916,52.16
274,52.474106,52.0
275,50.577187,50.16
276,49.804634,49.41
277,49.67076,49.279999
278,50.113594,49.709999
279,50.09301,49.689999
280,50.927544,50.5
281,51.53569,51.09
282,52.90738,52.419998
283,52.670105,52.189999
284,52.288445,51.82
